run_id,scenario,status,start_time,end_time,duration_seconds,requested_instances,deployment_id,recovery_id,healthy_count,unhealthy_count,notes
run20260411-193130-76,scale_up_5,success,2026-04-11T19:31:30-04:00,2026-04-11T19:32:13-04:00,43,5,dep-20260411233130-e361366c,,0,5,scaled up to 5
run20260411-193213-76,scale_down_1,success,2026-04-11T19:32:13-04:00,2026-04-11T19:32:55-04:00,42,1,dep-20260411233213-63d5488f,,0,1,scaled down to 1
run20260411-193255-76,kill_and_recover_app3,failed,2026-04-11T19:32:55-04:00,2026-04-11T19:33:40-04:00,45,5,dep-20260411233255-9fbf09db,rec-20260411233338-d472990b,0,5,killed app3 and recovered
run20260411-193340-77,base_deploy_1,success,2026-04-11T19:33:40-04:00,2026-04-11T19:34:23-04:00,43,1,dep-20260411233340-45644d44,,0,1,base deployment to 1 instance
run20260411-193423-77,scale_up_5,success,2026-04-11T19:34:23-04:00,2026-04-11T19:35:05-04:00,42,5,dep-20260411233423-a9c21a0a,,0,5,scaled up to 5
run20260411-193505-77,scale_down_1,success,2026-04-11T19:35:05-04:00,2026-04-11T19:35:45-04:00,40,1,dep-20260411233505-8b2bb4f2,,0,1,scaled down to 1
run20260411-193545-77,kill_and_recover_app3,failed,2026-04-11T19:35:45-04:00,2026-04-11T19:36:32-04:00,47,5,dep-20260411233545-8514a869,rec-20260411233630-f2929650,0,5,killed app3 and recovered
run20260411-193632-78,base_deploy_1,success,2026-04-11T19:36:32-04:00,2026-04-11T19:37:14-04:00,42,1,dep-20260411233632-e55944b5,,0,1,base deployment to 1 instance
run20260411-193714-78,scale_up_5,success,2026-04-11T19:37:15-04:00,2026-04-11T19:37:57-04:00,42,5,dep-20260411233715-f1637c0f,,0,5,scaled up to 5
run20260411-193757-78,scale_down_1,success,2026-04-11T19:37:57-04:00,2026-04-11T19:38:39-04:00,42,1,dep-20260411233757-2b468d31,,0,1,scaled down to 1
run20260411-193839-78,kill_and_recover_app3,failed,2026-04-11T19:38:39-04:00,2026-04-11T19:39:25-04:00,46,5,dep-20260411233839-419eb607,rec-20260411233923-4b6be198,0,5,killed app3 and recovered
run20260411-193925-79,base_deploy_1,success,2026-04-11T19:39:25-04:00,2026-04-11T19:40:08-04:00,43,1,dep-20260411233925-3b00b1b0,,0,1,base deployment to 1 instance
run20260411-194008-79,scale_up_5,success,2026-04-11T19:40:08-04:00,2026-04-11T19:40:51-04:00,43,5,dep-20260411234008-47275264,,0,5,scaled up to 5
run20260411-194051-79,scale_down_1,success,2026-04-11T19:40:51-04:00,2026-04-11T19:41:32-04:00,41,1,dep-20260411234051-d908ed09,,0,1,scaled down to 1
